Key	Species	Pattern	MonsterSpawnRates
1~9	3	1	45,70,100,0,0,0,0
10	3	2	45,70,100,0,0,0,0
11~19	3	2	45,70,100,0,0,0,0
20	3	3	45,70,100,0,0,0,0
21~29	4	1	30,45,70,100,0,0,0
30	4	2	30,45,70,100,0,0,0
31~39	4	2	30,45,70,100,0,0,0
40	4	3	30,45,70,100,0,0,0
41~49	5	1	25,40,60,85,100,0,0
50	5	2	25,40,60,85,100,0,0
51~59	5	2	25,40,60,85,100,0,0
60	5	3	25,40,60,85,100,0,0
61~69	6	1	20,35,55,75,85,100,0
70	6	2	20,35,55,75,85,100,0
71~79	6	2	20,35,55,75,85,100,0
80	6	3	20,35,55,75,85,100,0
81~89	7	1	15,25,40,60,70,85,100
90	7	2	15,25,40,60,70,85,100
91~99	7	2	15,25,40,60,70,85,100
100	7	3	15,25,40,60,70,85,100
