Key,kr,en,es
Tutorial01_01,우주를 가득히 빛내던,The stars that once lit up the entire universe,Las estrellas que alguna vez iluminaron todo el universo
Tutorial01_02,별들이 사라지고,Since the stars disappeared,Desde que las estrellas desaparecieron
Tutorial01_03,긴 시간이 흘렀습니다.,A long time has passed.,Ha pasado mucho tiempo.
Tutorial01_04,Zzz...,Zzz...,Zzz...
Tutorial01_05,"...뭐야, 여긴 아무것도 없는데 갑자기 왜...","...What’s going on, there’s nothing here but all of a sudden...","...¿Qué pasa? Aquí no hay nada, pero de repente..."
Tutorial01_06,어디선가 소리가 나는데...!,I hear a sound coming from somewhere...!,¡Escucho un sonido de algún lugar...!
Tutorial01_07,...큰일났다!,...This is bad!,¡Esto es malo!
Tutorial01_08,우주벌레들이야!,It’s space bugs!,¡Son insectos espaciales!
Tutorial01_09,어서 여길 벗어나야 해!,We need to get out of here quickly!,¡Tenemos que salir de aquí rápido!
Tutorial01_10,으앗!,Auch!,¡Ah!
Tutorial01_11,으아아!엔진이 고장나겠어...,Ahh! The engine is about to break...,¡Ahh! El motor está a punto de romperse...
Tutorial01_12,포탈이다!<br>여기보단 안전하겠지...?,It’s a portal!<br>It should be safer than here... right?,¡Es un portal!<br>Será más seguro que aquí... ¿verdad?
Tutorial01_13,으아아-!!,Aahh-!!,¡Aahh-!!
Tutorial01_14,휴~살았다.,Whew~ Survived.,Uf~ Me salvé.
Tutorial01_15,그런데 누가 이 포탈을 열었을까?,But who opened this portal?,"Pero, ¿quién abrió este portal?"
Tutorial01_16,너는...?,Who are you...?,¿Tú eres...?
Tutorial01_17,세상에...별나무다...! 별나무야!!,Oh my... it’s the Star Tree...! The Star Tree!!,"¡Oh, cielos... es el Árbol Estrella...! ¡El Árbol Estrella!"
Tutorial01_18,내가 찾아다니던 그 별나무라니! 드디어 찾았어!!,The Star Tree I’ve been searching for!\nI’ve finally found it!!,¡El Árbol Estrella que buscaba!\n¡Finalmente lo encontré!
Tutorial01_19,안녕! 혹시 네가 나를 구해 준 거야? 고마워!,Hi! Did you save me by any chance? Thank you!,¡Hola! ¿Acaso me salvaste? ¡Gracias!
Tutorial01_20,안녕...무사해서...다행이야...,Hi... I’m glad you’re safe...,Hola... Me alegra que estés a salvo...
Tutorial01_21,...너 괜찮니? 무척 힘들어 보이는데.,...Are you okay? You look really exhausted.,...¿Estás bien? Pareces muy cansado.
Tutorial01_22,아니야...난 괜찮아...완전 멀쩡해...,No... I’m fine... perfectly okay...,No... estoy bien... completamente bien...
Tutorial01_23,으아아! 안 돼! 시들지 마!,Ahh! No! Don’t wither!,¡Ahh! ¡No! ¡No te marches!
Tutorial01_24,미안...포탈 여는 데 힘을 다 써서...그래도 너를 구했으니까...,I’m sorry... I used all my strength opening the portal... but at least I saved you...,Lo siento... usé toda mi fuerza abriendo el portal... pero al menos los salvé...
Tutorial01_25,안 돼! 이제야 겨우 찾았는데...!,No! I just barely found you...!,¡No! Apenas te encontré...
