Stat_Lv,require_YF,require_OF
1,13950,0
2,27900,0
3,41850,0
4,55800,0
5,69750,0
6,83700,0
7,97650,0
8,111600,0
9,125550,0
10,139500,0
11,153450,0
12,167400,0
13,181350,0
14,195300,0
15,209250,0
16,223200,0
17,237150,0
18,251100,0
19,265050,0
20,279000,0
21,292950,0
22,306900,0
23,320850,0
24,334800,0
25,348750,0
26,362700,0
27,376650,0
28,390600,0
29,404550,0
30,418500,0
31,432450,0
32,446400,0
33,460350,0
34,474300,0
35,488250,0
36,502200,0
37,516150,0
38,530100,0
39,544050,0
40,558000,0
41,571950,0
42,585900,0
43,599850,0
44,613800,0
45,627750,0
46,641700,0
47,655650,0
48,669600,0
49,683550,0
50,697500,0
51,711450,0
52,725400,0
53,739350,0
54,753300,0
55,767250,0
56,781200,0
57,795150,0
58,809100,0
59,823050,0
60,837000,0
61,850950,0
62,864900,0
63,878850,0
64,892800,0
65,906750,0
66,920700,0
67,934650,0
68,948600,0
69,962550,0
70,976500,0
71,990450,0
72,1004400,0
73,1018350,0
74,1032300,0
75,1046250,0
76,1060200,305000
77,1074150,0
78,1088100,0
79,1102050,0
80,1116000,0
81,1129950,0
82,1143900,0
83,1157850,0
84,1171800,0
85,1185750,0
86,1199700,0
87,1213650,0
88,1227600,0
89,1241550,0
90,1255500,0
91,1269450,0
92,1283400,0
93,1297350,0
94,1311300,0
95,1325250,0
96,1339200,0
97,1353150,0
98,1367100,0
99,1381050,0
100,1395000,0
101,1761188,0
102,1778625,0
103,1796063,0
104,1813500,0
105,1830938,0
106,1848375,0
107,1865813,0
108,1883250,0
109,1900688,0
110,1918125,0
111,1935563,0
112,1953000,0
113,1970438,0
114,1987875,0
115,2005313,0
116,2022750,0
117,2040188,0
118,2057625,0
119,2075063,0
120,2092500,0
121,2109938,0
122,2127375,0
123,2144813,0
124,2162250,0
125,2179688,0
126,2197125,0
127,2214563,0
128,2232000,0
129,2249438,0
130,2266875,0
131,2284313,0
132,2301750,0
133,2319188,0
134,2336625,0
135,2354063,0
136,2371500,0
137,2388938,0
138,2406375,0
139,2423813,0
140,2441250,0
141,2458688,0
142,2476125,0
143,2493563,0
144,2511000,0
145,2528438,0
146,2545875,0
147,2563313,0
148,2580750,0
149,2598188,0
150,2615625,0
151,2633063,610000
152,2650500,0
153,2667938,0
154,2685375,0
155,2702813,0
156,2720250,0
157,2737688,0
158,2755125,0
159,2772563,0
160,2790000,0
161,2807438,0
162,2824875,0
163,2842313,0
164,2859750,0
165,2877188,0
166,2894625,0
167,2912063,0
168,2929500,0
169,2946938,0
170,2964375,0
171,2981813,0
172,2999250,0
173,3016688,0
174,3034125,0
175,3051563,0
176,3069000,0
177,3086438,0
178,3103875,0
179,3121313,0
180,3138750,0
181,3156188,0
182,3173625,0
183,3191063,0
184,3208500,0
185,3225938,0
186,3243375,0
187,3260813,0
188,3278250,0
189,3295688,0
190,3313125,0
191,3330563,0
192,3348000,0
193,3365438,0
194,3382875,0
195,3400313,0
196,3417750,0
197,3435188,0
198,3452625,0
199,3470063,0
200,3487500,0
201,4205925,0
202,4226850,0
203,4247775,0
204,4268700,0
205,4289625,0
206,4310550,0
207,4331475,0
208,4352400,0
209,4373325,0
210,4394250,0
211,4415175,0
212,4436100,0
213,4457025,0
214,4477950,0
215,4498875,0
216,4519800,0
217,4540725,0
218,4561650,0
219,4582575,0
220,4603500,0
221,4624425,0
222,4645350,0
223,4666275,0
224,4687200,0
225,4708125,0
226,4729050,1220000
227,4749975,32988
228,4770900,35976
229,4791825,38964
230,4812750,41952
231,4833675,44940
232,4854600,47928
233,4875525,50916
234,4896450,53904
235,4917375,56892
236,4938300,59880
237,4959225,62868
238,4980150,65856
239,5001075,68844
240,5022000,71832
241,5042925,74820
242,5063850,77808
243,5084775,80796
244,5105700,83784
245,5126625,86772
246,5147550,89760
247,5168475,92748
248,5189400,95736
249,5210325,98724
250,5231250,101712
